RKB,centralno,duration (h),distance (km),coordinates_centralno,coordinates_podracno,Населено место
7760103972,Бутел - ОOУ „Климент Охридски“,0.1880555556,5.7,"42.0458163,21.4420781","42.0333327,21.4142928",с. Визбегово
7080106807,Валандово - ООУ „Јосип Броз Тито“,0.2977777778,13.04,"41.3162392,22.5592661","41.3082021,22.6914167",с.Башибос
7080106807,Валандово - ООУ „Јосип Броз Тито“,0.1086111111,4.542,"41.3162392,22.5592661","41.3202731,22.5302324",с. Пирава
7080106807,Валандово - ООУ „Јосип Броз Тито“,0.08722222222,4.222,"41.3162392,22.5592661","41.2924536,22.5231711",с. Брајковци
7080106807,Валандово - ООУ „Јосип Броз Тито“,0.175,8.019,"41.3162392,22.5592661","41.3032372,22.6420643",с. Чалакли
7080106807,Валандово - ООУ „Јосип Броз Тито“,0.1597222222,7.408,"41.3162392,22.5592661","41.2846152,22.6040336",с. Дедели
7080106807,Валандово - ООУ „Јосип Броз Тито“,0.2113888889,7.018,"41.3162392,22.5592661","41.2757564,22.5726261",с. Казандол
7080106815,Валандово - ООУ „Страшо Пинџур“ с.Јосифово,0.1886111111,11.424,"41.3324462,22.4749777","41.2831901,22.4983369",с. Марвинци
7080106815,Валандово - ООУ „Страшо Пинџур“ с.Јосифово,0.2525,15.917,"41.3324462,22.4749777","41.2568264,22.4976855",с. Грчиште
7080106815,Валандово - ООУ „Страшо Пинџур“ с.Јосифово,0.06861111111,3.091,"41.3324462,22.4749777","41.3431802,22.4954993",с. Калково
7080106815,Валандово - ООУ „Страшо Пинџур“ с.Јосифово,0.08166666667,3.844,"41.3324462,22.4749777","41.3458592,22.439066",с. Удово
7090161824,Василево - ООУ „Атанас Нивачински“ с.Нова Маала,0.1511111111,5.39,"41.5257202,22.6974981","41.5142296,22.7313304",с. Чанаклија
7090161824,Василево - ООУ „Атанас Нивачински“ с.Нова Маала,0.05666666667,2.057,"41.5257202,22.6974981","41.5253271,22.6758485",с. Доброшинци
7090161824,Василево - ООУ „Атанас Нивачински“ с.Нова Маала,0.2916666667,14.185,"41.5257202,22.6974981","41.4416503,22.6435135",с. Висока Маала
7090106726,Василево - ООУ „Гоце Делчев“ с.Василево,0.2472222222,12.574,"41.5257203,22.6974981","41.5237385,22.6256156",с. Сушево
7090106726,Василево - ООУ „Гоце Делчев“ с.Василево,0.3094444444,14.388,"41.5257203,22.6974981","41.5054845,22.5870032",с. Едрениково
7090106726,Василево - ООУ „Гоце Делчев“ с.Василево,0.2427777778,11.059,"41.5257203,22.6974981","41.4792359,22.6155091",с. Ангелци
7090106726,Василево - ООУ „Гоце Делчев“ с.Василево,0.3513888889,18.528,"41.5257203,22.6974981","41.5458286,22.5481102",с. Дукатино
7090106726,Василево - ООУ „Гоце Делчев“ с.Василево,0.3216666667,14.432,"41.5257203,22.6974981","41.4898551,22.5843598",с. Седларци
7090106726,Василево - ООУ „Гоце Делчев“ с.Василево,0.2991666667,15.329,"41.5257203,22.6974981","41.5398586,22.5735303",с. Радичево
7090106726,Василево - ООУ „Гоце Делчев“ с.Василево,0.2430555556,10.788,"41.5257203,22.6974981","41.481773,22.6175214",с. Владевци
7110108044,Велес - OОУ „Кирил и Методиј“,0.3244444444,13.028,"41.7130234,21.7754778","41.6572434,21.7953627",с. Црквино
7110162790,Велес - OОУ „Панко Брашнаров“,0.1477777778,5.445,"41.7135972,21.7863058","41.7484148,21.7590774",с. Башино Село
7110162790,Велес - OОУ „Панко Брашнаров“,0.1905555556,9.639,"41.7135972,21.7863058","41.6964404,21.8363517",с. Караслари
7110162790,Велес - OОУ „Панко Брашнаров“,0.1691666667,5.034,"41.7135972,21.7863058","41.754562,21.7963064",с. Чалошево
7110108036,Велес - ООУ „Васил Главинов“,0.3413888889,13.231,"41.7164731,21.7663632","41.7184949,21.6700709",с. Сливник
7110108036,Велес - ООУ „Васил Главинов“,0.3,10.093,"41.7164731,21.7663632","41.706193,21.6941894",с.Клуковец
7110108036,Велес - ООУ „Васил Главинов“,0.04361111111,0.56,"41.7164731,21.7663632","41.7146715,21.7701724",Велес објект 2
7110108036,Велес - ООУ „Васил Главинов“,0.1408333333,5.024,"41.7164731,21.7663632","41.7153771,21.7214388",с. Раштани
7110108036,Велес - ООУ „Васил Главинов“,0.2561111111,10.157,"41.7164731,21.7663632","41.7388486,21.6745876",с. Бузалково
7110107994,Велес - ООУ „Стојан Бурчевски Буридан“ с.Иванковци,0.2025,10.184,"41.72049,21.7900541","41.787601,21.8283212",с. Мамутчево 
7110107994,Велес - ООУ „Стојан Бурчевски Буридан“ с.Иванковци,0.2547222222,10.209,"41.72049,21.7900541","41.7930725,21.7987634",с. Сојаклари 
7110107994,Велес - ООУ „Стојан Бурчевски Буридан“ с.Иванковци,0.6663888889,16.016,"41.72049,21.7900541","41.7721671,21.7085668",с. Отовица
7120105428,Виница - ООУ „Гоце Делчев“,0.09055555556,2.435,"41.8832351,22.5122791","41.9000318,22.5133916",с. Јакимово
7120105428,Виница - ООУ „Гоце Делчев“,0.1902777778,8.158,"41.8832351,22.5122791","41.9295497,22.4995906",с. Истибања
7120105304,Виница - ООУ „Кочо Рацин“ с.Блатец,0.3369444444,19.542,"41.836594,22.5769607","41.7962958,22.6673483",с. Лаки
7120105304,Виница - ООУ „Кочо Рацин“ с.Блатец,0.07416666667,2.369,"41.836594,22.5769607","41.8416184,22.5521449",с. Липец
7120105312,Виница - ООУ „Никола Парапунов“ с.Драгобраште,0.03083333333,1.76,"41.8885452,22.6114539","41.8719985,22.6208515",с. Пеклани
7120105312,Виница - ООУ „Никола Парапунов“ с.Драгобраште,0.1297222222,6.858,"41.8885452,22.6114539","41.9107009,22.6496028",с.  Драгобраште
7120105290,Виница - ООУ „Славчо Стојменски“,0.1058333333,3.868,"41.8832851,22.5033796","41.8502693,22.5101604",с. Градец
7120105290,Виница - ООУ „Славчо Стојменски“,0.1044444444,3.373,"41.8832851,22.5033796","41.8681063,22.4796366",с. Лески
7140107811,Врапчиште - ОOУ „Сали Лиси“ с.Добридол,0.04138888889,0.826,"41.8618636,20.8897774","41.8656993,20.8820378",с.  Добридол
7140107579,Врапчиште - ООУ „Врапчише“ с.Врапчиште,0.1669444444,3.883,"41.8373498,20.8764045","41.8282392,20.8676816",с. Врањовце 
7140107579,Врапчиште - ООУ „Врапчише“ с.Врапчиште,0.04083333333,0.61,"41.8373498,20.8764045","41.8392285,20.8806567",с. Галате
7140107579,Врапчиште - ООУ „Врапчише“ с.Врапчиште,0.07444444444,1.562,"41.8373498,20.8764045","41.828664,20.8808568",с. Зубовце
7140107684,Врапчиште - ООУ „Наим Фрашери“ с.Неготино,0.2008333333,5.819,"41.8785807946644,20.88777498","41.8961367,20.8344642",с. Ломниц
7140107684,Врапчиште - ООУ „Наим Фрашери“ с.Неготино,0.2691666667,7.253,"41.8785807946644,20.88777498","41.8933556,20.8643838",с.  Ѓурѓевиште
7140107684,Врапчиште - ООУ „Наим Фрашери“ с.Неготино,0.6688888889,15.149,"41.8505974,20.8453638","41.8773903,20.8574617",с. Калиште
7140107684,Врапчиште - ООУ „Наим Фрашери“ с.Неготино,0.3361111111,10,"41.8187508,20.889305","41.8840468,20.8881205",с. Сенокос
7770103867,Гази Баба - ОOУ „25 Мај“ Сингелиќ,0.07083333333,2.205,"42.0128483,21.5107403","42.0311291,21.5119572",Сингелиќ објект 2
